query_id,query_articleType,query_path,rank,retrieved_id,retrieved_articleType,retrieved_path,distance
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,3,37870,Wallets,./A2_FashionDataset/FashionDataset/train/images_train/37870.jpg,0.25951374
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,4,44037,Perfume and Body Mist,./A2_FashionDataset/FashionDataset/train/images_train/44037.jpg,0.27142805
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,5,48981,Ring,./A2_FashionDataset/FashionDataset/train/images_train/48981.jpg,0.30423248
24172,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/24172.jpg,1,44691,Tops,./A2_FashionDataset/FashionDataset/train/images_train/44691.jpg,0.02055024
24172,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/24172.jpg,2,27272,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/27272.jpg,0.026507173
24172,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/24172.jpg,3,33038,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/33038.jpg,0.026614469
24172,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/24172.jpg,4,49651,Tops,./A2_FashionDataset/FashionDataset/train/images_train/49651.jpg,0.026641047
24172,Kurtis,./A2_FashionDataset/FashionDataset/train/images_train/24172.jpg,5,43527,Tops,./A2_FashionDataset/FashionDataset/train/images_train/43527.jpg,0.027848084
3066,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3066.jpg,1,3723,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3723.jpg,0.18260664
3066,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3066.jpg,2,13582,Innerwear Vests,./A2_FashionDataset/FashionDataset/train/images_train/13582.jpg,0.19551031
3066,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3066.jpg,3,51832,Bra,./A2_FashionDataset/FashionDataset/train/images_train/51832.jpg,0.23107952
3066,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3066.jpg,4,51030,Bra,./A2_FashionDataset/FashionDataset/train/images_train/51030.jpg,0.24083035
3066,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/3066.jpg,5,42974,Swimwear,./A2_FashionDataset/FashionDataset/train/images_train/42974.jpg,0.253925
7796,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/7796.jpg,1,8803,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8803.jpg,0.03425796
7796,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/7796.jpg,2,51403,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/51403.jpg,0.040166095
7796,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/7796.jpg,3,30793,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/30793.jpg,0.044128824
7796,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/7796.jpg,4,7051,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/7051.jpg,0.045391023
7796,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/7796.jpg,5,6956,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/6956.jpg,0.04793659
15742,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/15742.jpg,1,8963,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/8963.jpg,0.014640775
15742,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/15742.jpg,2,22953,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/22953.jpg,0.01986699
15742,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/15742.jpg,3,8530,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/8530.jpg,0.022396337
15742,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/15742.jpg,4,7735,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/7735.jpg,0.02794712
15742,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/15742.jpg,5,8984,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/8984.jpg,0.030726645
17073,Belts,./A2_FashionDataset/FashionDataset/train/images_train/17073.jpg,1,27803,Belts,./A2_FashionDataset/FashionDataset/train/images_train/27803.jpg,0.013463364
17073,Belts,./A2_FashionDataset/FashionDataset/train/images_train/17073.jpg,2,49572,Belts,./A2_FashionDataset/FashionDataset/train/images_train/49572.jpg,0.01833839
17073,Belts,./A2_FashionDataset/FashionDataset/train/images_train/17073.jpg,3,25109,Belts,./A2_FashionDataset/FashionDataset/train/images_train/25109.jpg,0.020542804
17073,Belts,./A2_FashionDataset/FashionDataset/train/images_train/17073.jpg,4,18015,Belts,./A2_FashionDataset/FashionDataset/train/images_train/18015.jpg,0.020910846
17073,Belts,./A2_FashionDataset/FashionDataset/train/images_train/17073.jpg,5,38488,Belts,./A2_FashionDataset/FashionDataset/train/images_train/38488.jpg,0.021573829
38037,Watches,./A2_FashionDataset/FashionDataset/train/images_train/38037.jpg,1,10236,Watches,./A2_FashionDataset/FashionDataset/train/images_train/10236.jpg,0.024622276
38037,Watches,./A2_FashionDataset/FashionDataset/train/images_train/38037.jpg,2,11653,Watches,./A2_FashionDataset/FashionDataset/train/images_train/11653.jpg,0.025928944
38037,Watches,./A2_FashionDataset/FashionDataset/train/images_train/38037.jpg,3,29755,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29755.jpg,0.037479233
38037,Watches,./A2_FashionDataset/FashionDataset/train/images_train/38037.jpg,4,31813,Watches,./A2_FashionDataset/FashionDataset/train/images_train/31813.jpg,0.037757438
38037,Watches,./A2_FashionDataset/FashionDataset/train/images_train/38037.jpg,5,45940,Watches,./A2_FashionDataset/FashionDataset/train/images_train/45940.jpg,0.039006665
51601,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51601.jpg,1,50948,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/50948.jpg,0.0060373163
51601,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51601.jpg,2,50958,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/50958.jpg,0.028026314
51601,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51601.jpg,3,51596,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51596.jpg,0.030434098
51601,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51601.jpg,4,11301,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/11301.jpg,0.03175613
51601,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/51601.jpg,5,24848,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/24848.jpg,0.034790482
37657,Socks,./A2_FashionDataset/FashionDataset/train/images_train/37657.jpg,1,29115,Socks,./A2_FashionDataset/FashionDataset/train/images_train/29115.jpg,0.1326131
37657,Socks,./A2_FashionDataset/FashionDataset/train/images_train/37657.jpg,2,19499,Socks,./A2_FashionDataset/FashionDataset/train/images_train/19499.jpg,0.28024065
37657,Socks,./A2_FashionDataset/FashionDataset/train/images_train/37657.jpg,3,32037,Socks,./A2_FashionDataset/FashionDataset/train/images_train/32037.jpg,0.30356732
37657,Socks,./A2_FashionDataset/FashionDataset/train/images_train/37657.jpg,4,46134,Necklace and Chains,./A2_FashionDataset/FashionDataset/train/images_train/46134.jpg,0.30553034
37657,Socks,./A2_FashionDataset/FashionDataset/train/images_train/37657.jpg,5,43827,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/43827.jpg,0.33344787
24072,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24072.jpg,1,11828,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11828.jpg,0.048845306
24072,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24072.jpg,2,11823,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11823.jpg,0.12952736
24072,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24072.jpg,3,13358,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/13358.jpg,0.13271895
24072,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24072.jpg,4,35463,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/35463.jpg,0.1345347
24072,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24072.jpg,5,43478,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/43478.jpg,0.13972047
28757,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28757.jpg,1,24506,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24506.jpg,0.003178855
28757,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28757.jpg,2,27090,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/27090.jpg,0.0053389776
28757,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28757.jpg,3,42556,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42556.jpg,0.006327402
28757,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28757.jpg,4,19095,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/19095.jpg,0.0075769965
28757,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28757.jpg,5,11591,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/11591.jpg,0.0077189645
29977,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29977.jpg,1,29978,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29978.jpg,0.011250008
29977,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29977.jpg,2,10194,Watches,./A2_FashionDataset/FashionDataset/train/images_train/10194.jpg,0.01690957
29977,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29977.jpg,3,43166,Watches,./A2_FashionDataset/FashionDataset/train/images_train/43166.jpg,0.019316241
29977,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29977.jpg,4,11222,Watches,./A2_FashionDataset/FashionDataset/train/images_train/11222.jpg,0.027802097
29977,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29977.jpg,5,45886,Watches,./A2_FashionDataset/FashionDataset/train/images_train/45886.jpg,0.02876642
40126,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/40126.jpg,1,41994,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/41994.jpg,1.7882484e-13
40126,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/40126.jpg,2,9995,Skirts,./A2_FashionDataset/FashionDataset/train/images_train/9995.jpg,0.08490342
40126,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/40126.jpg,3,6974,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/6974.jpg,0.25062352
40126,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/40126.jpg,4,38818,Tops,./A2_FashionDataset/FashionDataset/train/images_train/38818.jpg,0.25348416
40126,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/40126.jpg,5,12844,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/12844.jpg,0.26197416
42001,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42001.jpg,1,40145,Capris,./A2_FashionDataset/FashionDataset/train/images_train/40145.jpg,2.4700278e-13
42001,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42001.jpg,2,42002,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42002.jpg,2.4700278e-13
42001,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42001.jpg,3,42267,Trousers,./A2_FashionDataset/FashionDataset/train/images_train/42267.jpg,0.063198194
42001,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42001.jpg,4,42595,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/42595.jpg,0.098063864
42001,Capris,./A2_FashionDataset/FashionDataset/train/images_train/42001.jpg,5,39387,Jeans,./A2_FashionDataset/FashionDataset/train/images_train/39387.jpg,0.13929948
48617,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48617.jpg,1,48662,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48662.jpg,0.15133603
48617,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48617.jpg,2,35309,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/35309.jpg,0.24328643
48617,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48617.jpg,3,4039,Caps,./A2_FashionDataset/FashionDataset/train/images_train/4039.jpg,0.24836951
48617,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48617.jpg,4,48667,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48667.jpg,0.25210184
48617,Earrings,./A2_FashionDataset/FashionDataset/train/images_train/48617.jpg,5,30097,Watches,./A2_FashionDataset/FashionDataset/train/images_train/30097.jpg,0.30363417
38835,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/38835.jpg,1,19602,Tops,./A2_FashionDataset/FashionDataset/train/images_train/19602.jpg,0.07203624
38835,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/38835.jpg,2,11756,Tops,./A2_FashionDataset/FashionDataset/train/images_train/11756.jpg,0.087956846
38835,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/38835.jpg,3,33209,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/33209.jpg,0.10129833
38835,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/38835.jpg,4,19587,Tops,./A2_FashionDataset/FashionDataset/train/images_train/19587.jpg,0.107739806
38835,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/38835.jpg,5,23053,Tops,./A2_FashionDataset/FashionDataset/train/images_train/23053.jpg,0.10799749
11898,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11898.jpg,1,10274,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10274.jpg,0.009024223
11898,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11898.jpg,2,44419,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/44419.jpg,0.013393077
11898,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11898.jpg,3,21099,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/21099.jpg,0.01370752
11898,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11898.jpg,4,45596,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/45596.jpg,0.015447812
11898,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/11898.jpg,5,10151,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10151.jpg,0.015475759
51966,Nightdress,./A2_FashionDataset/FashionDataset/train/images_train/51966.jpg,1,35467,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35467.jpg,0.18662168
51966,Nightdress,./A2_FashionDataset/FashionDataset/train/images_train/51966.jpg,2,45089,Bra,./A2_FashionDataset/FashionDataset/train/images_train/45089.jpg,0.1997964
51966,Nightdress,./A2_FashionDataset/FashionDataset/train/images_train/51966.jpg,3,45080,Bra,./A2_FashionDataset/FashionDataset/train/images_train/45080.jpg,0.224177
51966,Nightdress,./A2_FashionDataset/FashionDataset/train/images_train/51966.jpg,4,50012,Bra,./A2_FashionDataset/FashionDataset/train/images_train/50012.jpg,0.22748591
51966,Nightdress,./A2_FashionDataset/FashionDataset/train/images_train/51966.jpg,5,51835,Briefs,./A2_FashionDataset/FashionDataset/train/images_train/51835.jpg,0.24536249
32728,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/32728.jpg,1,16997,Flats,./A2_FashionDataset/FashionDataset/train/images_train/16997.jpg,0.09762029
32728,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/32728.jpg,2,43950,Flats,./A2_FashionDataset/FashionDataset/train/images_train/43950.jpg,0.11775323
32728,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/32728.jpg,3,2641,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/2641.jpg,0.18454638
32728,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/32728.jpg,4,3250,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/3250.jpg,0.19859698
32728,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/32728.jpg,5,10613,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10613.jpg,0.20620748
28645,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/28645.jpg,1,2934,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/2934.jpg,0.007896114
28645,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/28645.jpg,2,4415,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4415.jpg,0.011233675
28645,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/28645.jpg,3,4053,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4053.jpg,0.011625921
28645,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/28645.jpg,4,4382,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4382.jpg,0.014673832
28645,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/28645.jpg,5,9866,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/9866.jpg,0.01747993
30303,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/30303.jpg,1,9677,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/9677.jpg,0.001481945
30303,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/30303.jpg,2,44843,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/44843.jpg,0.001848368
30303,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/30303.jpg,3,14656,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/14656.jpg,0.0020709713
30303,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/30303.jpg,4,10879,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/10879.jpg,0.0021586586
30303,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/30303.jpg,5,5827,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/5827.jpg,0.0023500707
39947,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/39947.jpg,1,45608,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/45608.jpg,0.008404331
39947,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/39947.jpg,2,10153,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10153.jpg,0.010954529
39947,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/39947.jpg,3,12513,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/12513.jpg,0.017107448
39947,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/39947.jpg,4,10101,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10101.jpg,0.01744692
39947,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/39947.jpg,5,10145,Formal Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10145.jpg,0.017860012
8471,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8471.jpg,1,17187,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/17187.jpg,0.08824593
8471,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8471.jpg,2,6054,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/6054.jpg,0.109865576
8471,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8471.jpg,3,29276,Tops,./A2_FashionDataset/FashionDataset/train/images_train/29276.jpg,0.12457191
8471,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8471.jpg,4,21162,Sweaters,./A2_FashionDataset/FashionDataset/train/images_train/21162.jpg,0.13430016
8471,Shirts,./A2_FashionDataset/FashionDataset/train/images_train/8471.jpg,5,21115,Tops,./A2_FashionDataset/FashionDataset/train/images_train/21115.jpg,0.13970616
5329,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/5329.jpg,1,21727,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/21727.jpg,0.009515803
5329,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/5329.jpg,2,9107,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/9107.jpg,0.019655632
5329,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/5329.jpg,3,9401,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/9401.jpg,0.024767663
5329,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/5329.jpg,4,7843,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/7843.jpg,0.02512502
5329,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/5329.jpg,5,41842,Sports Shoes,./A2_FashionDataset/FashionDataset/train/images_train/41842.jpg,0.0253206
48768,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48768.jpg,1,48767,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48767.jpg,0.09550126
48768,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48768.jpg,2,48764,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48764.jpg,0.21369642
48768,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48768.jpg,3,4945,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4945.jpg,0.32754618
48768,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48768.jpg,4,4946,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4946.jpg,0.32754618
48768,Jewellery Set,./A2_FashionDataset/FashionDataset/train/images_train/48768.jpg,5,40149,Dresses,./A2_FashionDataset/FashionDataset/train/images_train/40149.jpg,0.33240247
35810,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35810.jpg,1,37968,Heels,./A2_FashionDataset/FashionDataset/train/images_train/37968.jpg,0.024476953
35810,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35810.jpg,2,47549,Heels,./A2_FashionDataset/FashionDataset/train/images_train/47549.jpg,0.029588953
35810,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35810.jpg,3,46612,Heels,./A2_FashionDataset/FashionDataset/train/images_train/46612.jpg,0.031080218
35810,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35810.jpg,4,42700,Flats,./A2_FashionDataset/FashionDataset/train/images_train/42700.jpg,0.031892553
35810,Heels,./A2_FashionDataset/FashionDataset/train/images_train/35810.jpg,5,46604,Heels,./A2_FashionDataset/FashionDataset/train/images_train/46604.jpg,0.033120666
51518,Watches,./A2_FashionDataset/FashionDataset/train/images_train/51518.jpg,1,29938,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29938.jpg,0.018712353
51518,Watches,./A2_FashionDataset/FashionDataset/train/images_train/51518.jpg,2,49895,Watches,./A2_FashionDataset/FashionDataset/train/images_train/49895.jpg,0.02360905
51518,Watches,./A2_FashionDataset/FashionDataset/train/images_train/51518.jpg,3,22944,Watches,./A2_FashionDataset/FashionDataset/train/images_train/22944.jpg,0.024604704
51518,Watches,./A2_FashionDataset/FashionDataset/train/images_train/51518.jpg,4,45013,Watches,./A2_FashionDataset/FashionDataset/train/images_train/45013.jpg,0.026858462
51518,Watches,./A2_FashionDataset/FashionDataset/train/images_train/51518.jpg,5,17448,Watches,./A2_FashionDataset/FashionDataset/train/images_train/17448.jpg,0.031394117
48442,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/48442.jpg,1,6765,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/6765.jpg,0.05808515
48442,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/48442.jpg,2,6236,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/6236.jpg,0.06272954
48442,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/48442.jpg,3,4986,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4986.jpg,0.07012135
48442,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/48442.jpg,4,4293,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4293.jpg,0.07697596
48442,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/48442.jpg,5,4767,Tshirts,./A2_FashionDataset/FashionDataset/train/images_train/4767.jpg,0.078584336
10172,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10172.jpg,1,9032,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/9032.jpg,0.027755588
10172,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10172.jpg,2,20825,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/20825.jpg,0.040225286
10172,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/10172.jpg,3,24727,Casual Shoes,./A2_FashionDataset/FashionDataset/train/images_train/24727.jpg,0.04138381
