id,gender,articleType,season,usage
52383,Women,Dresses,Summer,Casual
52384,Women,Kurta Sets,Summer,Casual
52385,Women,Dresses,Summer,Casual
52386,Women,Tops,Summer,Casual
52387,Women,Dresses,Summer,Casual
52390,Women,Dresses,Summer,Casual
52391,Women,Dresses,Summer,Ethnic
52392,Women,Dresses,Summer,Casual
52393,Women,Dresses,Summer,Casual
52394,Women,Dresses,Summer,Casual
52395,Women,Dresses,Summer,Ethnic
52396,Women,Dresses,Summer,Ethnic
52397,Women,Dresses,Summer,Ethnic
52398,Women,Dresses,Summer,Casual
52399,Women,Tops,Summer,Casual
52400,Women,Tops,Summer,Casual
52401,Women,Tops,Summer,Casual
52402,Women,Dresses,Summer,Casual
52403,Women,Dresses,Summer,Casual
52404,Women,Dresses,Summer,Casual
52405,Women,Dresses,Summer,Casual
52406,Women,Dresses,Summer,Ethnic
52407,Women,Dresses,Summer,Casual
52408,Women,Dresses,Summer,Casual
52409,Women,Dresses,Summer,Ethnic
52410,Women,Dresses,Summer,Ethnic
52411,Women,Dresses,Summer,Casual
52412,Women,Dresses,Summer,Casual
52413,Women,Dresses,Summer,Casual
52414,Women,Dresses,Summer,Casual
52415,Women,Dresses,Summer,Ethnic
52416,Women,Dresses,Summer,Casual
52417,Women,Tops,Summer,Casual
52418,Women,Dresses,Summer,Casual
52419,Women,Dresses,Summer,Casual
52420,Women,Dresses,Summer,Casual
52421,Men,Dresses,Summer,Casual
52422,Women,Dresses,Summer,Casual
52423,Women,Dresses,Summer,Casual
52424,Women,Dresses,Summer,Casual
52425,Women,Dresses,Summer,Casual
52426,Women,Dresses,Summer,Casual
52427,Women,Dresses,Summer,Casual
52428,Women,Dresses,Summer,Ethnic
52429,Women,Dresses,Summer,Casual
52430,Women,Dresses,Summer,Ethnic
52431,Women,Dresses,Summer,Casual
52432,Women,Dresses,Summer,Casual
52434,Women,Dresses,Summer,Ethnic
52435,Women,Dresses,Summer,Ethnic
52436,Women,Dresses,Summer,Ethnic
52437,Women,Tops,Summer,Ethnic
52438,Women,Dresses,Summer,Ethnic
52439,Women,Tops,Summer,Casual
52440,Women,Dresses,Summer,Casual
52441,Women,Tops,Summer,Casual
52442,Women,Dresses,Summer,Casual
52443,Women,Dresses,Summer,Casual
52444,Women,Dresses,Summer,Casual
52445,Women,Dresses,Summer,Casual
52446,Women,Tops,Summer,Casual
52447,Women,Nightdress,Summer,Casual
52448,Women,Dupatta,Summer,Ethnic
52449,Women,Dresses,Summer,Casual
52450,Women,Tops,Summer,Ethnic
52451,Women,Dresses,Summer,Casual
52452,Women,Dresses,Summer,Ethnic
52453,Women,Dresses,Summer,Ethnic
52454,Women,Dresses,Summer,Ethnic
52455,Women,Dresses,Summer,Casual
52456,Women,Dresses,Summer,Casual
52457,Women,Tops,Summer,Casual
52458,Women,Dresses,Summer,Casual
52459,Women,Dresses,Summer,Casual
52460,Women,Dresses,Summer,Ethnic
52461,Women,Dresses,Summer,Casual
52462,Women,Dresses,Summer,Casual
52463,Women,Kurta Sets,Summer,Ethnic
52464,Women,Dresses,Summer,Ethnic
52465,Women,Bra,Summer,Casual
52466,Women,Bra,Summer,Casual
52467,Men,Tshirts,Summer,Casual
52468,Women,Tshirts,Summer,Formal
52469,Women,Tshirts,Summer,Formal
52470,Women,Tshirts,Summer,Casual
52472,Women,Dresses,Summer,Casual
52473,Women,Dresses,Summer,Ethnic
52474,Women,Shirts,Summer,Casual
52475,Women,Dresses,Summer,Casual
52476,Women,Shirts,Summer,Casual
52477,Women,Tshirts,Summer,Ethnic
52478,Women,Dresses,Summer,Casual
52479,Women,Dresses,Summer,Casual
52480,Women,Tops,Summer,Ethnic
52481,Women,Dresses,Summer,Casual
52482,Women,Tops,Summer,Ethnic
52483,Women,Bra,Summer,Casual
52484,Women,Bra,Summer,Casual
52485,Women,Bra,Summer,Casual
52486,Women,Bra,Summer,Casual
52487,Women,Bra,Summer,Casual
52488,Women,Bra,Summer,Casual
52489,Women,Bra,Summer,Casual
52490,Women,Bra,Summer,Casual
52491,Men,Tshirts,Summer,Casual
52492,Women,Innerwear Vests,Summer,Formal
52493,Men,Tshirts,Summer,Casual
52494,Women,Shirts,Summer,Casual
52495,Women,Dresses,Summer,Casual
52496,Women,Tops,Summer,Ethnic
52497,Women,Tshirts,Summer,Casual
52498,Women,Nightdress,Summer,Casual
52499,Women,Night suits,Summer,Casual
52500,Women,Dresses,Summer,Casual
52501,Women,Dresses,Summer,Ethnic
52502,Women,Dresses,Summer,Ethnic
52503,Women,Dresses,Summer,Casual
52504,Women,Kurtas,Summer,Ethnic
52505,Women,Dresses,Summer,Casual
52506,Women,Dresses,Summer,Casual
52507,Women,Dresses,Fall,Casual
52508,Women,Night suits,Summer,Casual
52509,Women,Tops,Summer,Casual
52510,Women,Tops,Summer,Ethnic
52511,Women,Dresses,Summer,Casual
52512,Women,Kurtas,Summer,Casual
52513,Women,Nightdress,Summer,Casual
52514,Women,Bra,Summer,Casual
52515,Women,Bra,Summer,Casual
52516,Women,Bra,Summer,Casual
52517,Women,Tops,Summer,Ethnic
52518,Women,Night suits,Summer,Casual
52519,Women,Dresses,Summer,Casual
52520,Women,Shorts,Summer,Casual
52522,Women,Jeans,Summer,Casual
52523,Women,Jeans,Summer,Casual
52524,Men,Leggings,Summer,Casual
52525,Women,Jeggings,Summer,Casual
52528,Women,Lounge Shorts,Summer,Casual
52529,Men,Lounge Pants,Summer,Casual
52536,Women,Jeans,Summer,Casual
52539,Women,Jeans,Summer,Casual
52547,Women,Jeans,Summer,Casual
52548,Men,Jeans,Summer,Casual
52553,Women,Leggings,Summer,Casual
52554,Women,Jeans,Summer,Casual
52555,Women,Jeans,Summer,Casual
52556,Women,Jeans,Summer,Casual
52557,Women,Jeans,Summer,Casual
52558,Women,Wallets,Summer,Casual
52559,Women,Wallets,Winter,Casual
52560,Women,Wallets,Summer,Casual
52561,Women,Wallets,Winter,Casual
52563,Women,Wallets,Winter,Casual
52564,Women,Handbags,Summer,Casual
52565,Women,Handbags,Summer,Casual
52568,Women,Handbags,Summer,Casual
52569,Women,Handbags,Winter,Casual
52570,Women,Clutches,Summer,Casual
52574,Women,Clutches,Summer,Casual
52575,Women,Clutches,Summer,Casual
52576,Women,Sports Shoes,Winter,Casual
52577,Women,Duffel Bag,Winter,Casual
52579,Women,Handbags,Summer,Casual
52581,Women,Heels,Spring,Casual
52582,Women,Handbags,Winter,Casual
52585,Women,Wallets,Winter,Casual
52586,Women,Duffel Bag,Summer,Casual
52588,Women,Messenger Bag,Summer,Casual
52589,Women,Handbags,Summer,Casual
52593,Women,Bangle,Summer,Casual
52594,Women,Handbags,Summer,Casual
52599,Women,Wallets,Summer,Casual
52602,Women,Messenger Bag,Summer,Casual
52603,Women,Duffel Bag,Summer,Casual
52604,Women,Messenger Bag,Winter,Casual
52609,Women,Handbags,Winter,Casual
52616,Women,Handbags,Winter,Casual
52618,Women,Handbags,Winter,Casual
52622,Women,Handbags,Winter,Casual
52623,Women,Handbags,Winter,Casual
52626,Women,Handbags,Winter,Casual
52632,Women,Handbags,Winter,Casual
52633,Women,Handbags,Winter,Casual
52634,Women,Handbags,Winter,Casual
52635,Women,Handbags,Summer,Casual
52636,Women,Duffel Bag,Winter,Casual
52637,Women,Handbags,Winter,Casual
52638,Women,Handbags,Winter,Casual
52639,Women,Handbags,Winter,Casual
52641,Women,Handbags,Summer,Casual
52642,Women,Handbags,Winter,Casual
52643,Women,Handbags,Winter,Casual
52647,Women,Handbags,Winter,Casual
52648,Women,Duffel Bag,Winter,Casual
52649,Women,Handbags,Winter,Casual
52650,Women,Handbags,Winter,Casual
52651,Women,Handbags,Winter,Casual
52652,Women,Handbags,Winter,Casual
52653,Women,Handbags,Summer,Casual
52654,Women,Handbags,Winter,Casual
52655,Women,Handbags,Winter,Casual
52656,Women,Handbags,Summer,Casual
52657,Women,Sports Shoes,Summer,Casual
52658,Women,Handbags,Winter,Casual
52659,Women,Sports Shoes,Summer,Casual
52660,Women,Handbags,Summer,Casual
52661,Women,Handbags,Winter,Casual
52665,Men,Watches,Winter,Casual
52670,Women,Watches,Winter,Casual
52671,Men,Watches,Winter,Casual
52673,Women,Watches,Winter,Casual
52675,Men,Watches,Winter,Casual
52676,Women,Watches,Winter,Casual
52677,Women,Watches,Winter,Casual
52678,Men,Backpacks,Winter,Casual
52679,Women,Tshirts,Winter,Casual
52680,Women,Watches,Winter,Casual
52681,Women,Watches,Winter,Casual
52682,Women,Watches,Winter,Casual
52683,Women,Watches,Winter,Casual
52684,Women,Watches,Winter,Casual
52686,Men,Watches,Winter,Casual
52687,Women,Watches,Winter,Casual
52688,Women,Watches,Winter,Casual
52690,Women,Watches,Winter,Casual
52691,Women,Socks,Summer,Casual
52692,Women,Watches,Winter,Casual
52693,Women,Watches,Winter,Casual
52694,Women,Socks,Winter,Casual
52695,Men,Tshirts,Winter,Casual
52749,Women,Deodorant,Spring,Casual
52751,Women,Deodorant,Spring,Casual
52754,Women,Handbags,Winter,Casual
52756,Women,Handbags,Winter,Casual
52758,Women,Duffel Bag,Winter,Casual
52759,Men,Handbags,Winter,Casual
52766,Women,Handbags,Summer,Casual
52767,Women,Handbags,Summer,Casual
52768,Women,Handbags,Summer,Casual
52772,Women,Wallets,Summer,Casual
52773,Women,Wallets,Summer,Casual
52774,Women,Wallets,Summer,Casual
52775,Women,Wallets,Summer,Casual
52776,Women,Wallets,Summer,Casual
52777,Women,Wallets,Summer,Casual
52778,Women,Wallets,Summer,Casual
52779,Women,Tshirts,Summer,Casual
52780,Men,Wallets,Summer,Casual
52781,Men,Wallets,Summer,Casual
52782,Women,Wallets,Summer,Casual
52784,Women,Wallets,Summer,Casual
52785,Men,Wallets,Summer,Casual
52786,Women,Wallets,Summer,Casual
52789,Women,Wallets,Summer,Casual
52791,Women,Wallets,Summer,Casual
52792,Women,Wallets,Summer,Casual
52793,Men,Wallets,Summer,Casual
52794,Men,Wallets,Summer,Casual
52795,Men,Wallets,Summer,Casual
52796,Men,Wallets,Summer,Casual
52797,Men,Wallets,Summer,Casual
52798,Men,Wallets,Summer,Casual
52799,Men,Wallets,Summer,Casual
52800,Men,Wallets,Summer,Casual
52801,Men,Wallets,Summer,Casual
52802,Men,Wallets,Winter,Casual
52803,Unisex,Wallets,Summer,Casual
52804,Women,Wallets,Summer,Casual
52805,Men,Wallets,Summer,Casual
52806,Men,Wallets,Summer,Casual
52807,Men,Wallets,Summer,Casual
52808,Men,Wallets,Summer,Casual
52809,Men,Wallets,Summer,Casual
52810,Men,Wallets,Summer,Casual
52811,Men,Wallets,Summer,Casual
52812,Men,Wallets,Summer,Casual
52813,Men,Wallets,Summer,Casual
52814,Men,Wallets,Summer,Casual
52816,Men,Watches,Winter,Casual
52817,Women,Earrings,Summer,Casual
52818,Women,Earrings,Summer,Casual
52819,Women,Earrings,Summer,Casual
52820,Women,Bangle,Summer,Casual
52822,Women,Necklace and Chains,Summer,Casual
52823,Women,Earrings,Winter,Casual
52825,Women,Earrings,Summer,Casual
52827,Women,Tshirts,Summer,Casual
52828,Women,Earrings,Summer,Casual
52831,Women,Earrings,Winter,Casual
52834,Women,Earrings,Winter,Casual
52835,Women,Earrings,Summer,Casual
52836,Women,Necklace and Chains,Summer,Casual
52837,Women,Earrings,Summer,Casual
52839,Women,Earrings,Summer,Casual
52840,Women,Earrings,Summer,Casual
52841,Women,Earrings,Summer,Casual
52842,Women,Earrings,Summer,Casual
52846,Women,Earrings,Summer,Casual
52847,Women,Handbags,Summer,Casual
52848,Women,Bracelet,Winter,Casual
52850,Women,Earrings,Summer,Casual
52851,Women,Earrings,Summer,Casual
52852,Women,Earrings,Summer,Casual
52854,Women,Handbags,Summer,Casual
52855,Women,Handbags,Summer,Casual
52859,Women,Earrings,Winter,Casual
52860,Women,Bangle,Winter,Casual
52862,Women,Earrings,Winter,Casual
52863,Women,Earrings,Summer,Casual
52864,Women,Earrings,Winter,Casual
52868,Women,Earrings,Summer,Casual
52869,Women,Handbags,Summer,Casual
52871,Women,Fragrance Gift Set,Summer,Casual
52874,Women,Kurta Sets,Summer,Ethnic
52875,Women,Sarees,Summer,Casual
52876,Women,Kurta Sets,Summer,Casual
52877,Women,Sarees,Summer,Casual
52878,Women,Sarees,Summer,Ethnic
52879,Women,Sarees,Summer,Ethnic
52880,Men,Sarees,Summer,Casual
52881,Women,Sarees,Summer,Casual
52882,Women,Dresses,Summer,Casual
52883,Women,Kurtas,Summer,Casual
52884,Women,Sarees,Summer,Casual
52885,Women,Sarees,Summer,Casual
52886,Women,Sarees,Summer,Casual
52887,Women,Sarees,Summer,Ethnic
52888,Women,Sarees,Summer,Ethnic
52889,Women,Sarees,Summer,Casual
52890,Women,Sarees,Summer,Ethnic
52891,Women,Sarees,Summer,Casual
52892,Women,Sarees,Summer,Casual
52893,Women,Sarees,Summer,Ethnic
52894,Women,Sarees,Summer,Ethnic
52895,Women,Sarees,Summer,Ethnic
52896,Women,Dresses,Summer,Casual
52897,Women,Dresses,Summer,Casual
52898,Women,Dresses,Summer,Casual
52899,Women,Sarees,Summer,Casual
52901,Women,Sarees,Summer,Casual
52902,Women,Sarees,Summer,Ethnic
52903,Women,Sarees,Summer,Casual
52904,Women,Sarees,Summer,Ethnic
52905,Women,Sarees,Summer,Ethnic
52906,Women,Sarees,Summer,Casual
52907,Women,Sarees,Summer,Ethnic
52908,Women,Sarees,Summer,Casual
52909,Women,Sarees,Summer,Ethnic
52910,Women,Dresses,Summer,Casual
52911,Women,Sarees,Summer,Ethnic
52912,Women,Sarees,Summer,Casual
52913,Women,Sarees,Summer,Casual
52914,Women,Sarees,Summer,Casual
52915,Women,Dresses,Summer,Casual
52916,Women,Sarees,Summer,Ethnic
52917,Women,Sarees,Fall,Casual
52918,Women,Sarees,Summer,Ethnic
52919,Women,Sarees,Summer,Casual
52920,Women,Sarees,Summer,Ethnic
52921,Women,Sarees,Summer,Casual
52922,Women,Sarees,Summer,Casual
52923,Women,Dresses,Summer,Casual
52924,Women,Dresses,Summer,Casual
52925,Women,Dresses,Summer,Casual
52926,Women,Kurtas,Summer,Casual
52927,Women,Dresses,Summer,Casual
52928,Women,Dresses,Summer,Casual
52929,Women,Sarees,Summer,Casual
52930,Women,Dresses,Summer,Casual
52931,Women,Sarees,Summer,Casual
52934,Women,Nightdress,Summer,Casual
52935,Women,Dresses,Summer,Casual
52936,Women,Sarees,Summer,Ethnic
52937,Women,Dresses,Summer,Casual
52938,Women,Night suits,Summer,Casual
52940,Women,Watches,Summer,Casual
52941,Women,Backpacks,Summer,Casual
52942,Women,Sarees,Summer,Casual
52943,Women,Sarees,Summer,Casual
52944,Women,Sarees,Summer,Casual
52945,Women,Sarees,Summer,Casual
52946,Women,Sarees,Summer,Casual
52947,Women,Kurta Sets,Summer,Ethnic
52948,Women,Kurta Sets,Summer,Ethnic
52949,Women,Dresses,Summer,Casual
52950,Women,Sarees,Summer,Ethnic
52951,Women,Sarees,Summer,Casual
52952,Women,Kurta Sets,Summer,Ethnic
52953,Women,Kurta Sets,Summer,Ethnic
52954,Women,Sarees,Summer,Ethnic
52955,Women,Kurta Sets,Summer,Ethnic
52956,Women,Kurta Sets,Summer,Ethnic
52957,Women,Backpacks,Summer,Ethnic
52958,Women,Dresses,Summer,Ethnic
52959,Women,Sarees,Summer,Ethnic
52960,Women,Sarees,Summer,Casual
52961,Women,Sarees,Summer,Ethnic
52962,Women,Sarees,Summer,Ethnic
52963,Women,Sarees,Summer,Casual
52964,Women,Sarees,Summer,Casual
52965,Women,Sarees,Summer,Ethnic
52966,Women,Kurta Sets,Summer,Ethnic
52967,Women,Kurta Sets,Summer,Ethnic
52968,Women,Kurta Sets,Summer,Ethnic
52969,Women,Sarees,Summer,Casual
52970,Women,Kurta Sets,Summer,Ethnic
52971,Women,Sarees,Summer,Ethnic
52972,Women,Kurta Sets,Summer,Ethnic
52973,Women,Sarees,Summer,Casual
52975,Women,Sarees,Summer,Ethnic
52976,Women,Sarees,Summer,Casual
52978,Women,Sarees,Summer,Ethnic
52979,Women,Sarees,Summer,Ethnic
52980,Women,Kurta Sets,Summer,Ethnic
52981,Women,Sarees,Summer,Ethnic
52982,Women,Sarees,Summer,Ethnic
52983,Women,Sarees,Summer,Ethnic
52986,Women,Kurta Sets,Summer,Casual
52987,Women,Kurta Sets,Summer,Ethnic
52988,Women,Kurta Sets,Summer,Ethnic
52989,Women,Sarees,Summer,Casual
52990,Women,Sarees,Summer,Ethnic
52991,Women,Sarees,Summer,Casual
52992,Women,Kurta Sets,Summer,Ethnic
52993,Women,Sarees,Summer,Ethnic
52996,Women,Kurta Sets,Summer,Ethnic
52998,Women,Sarees,Summer,Casual
52999,Women,Sarees,Summer,Ethnic
53000,Women,Dresses,Summer,Casual
53001,Women,Dresses,Summer,Casual
53002,Women,Sarees,Summer,Casual
53003,Women,Sarees,Summer,Casual
53004,Women,Rucksacks,Summer,Casual
53006,Women,Rucksacks,Summer,Casual
53007,Women,Backpacks,Summer,Casual
53008,Women,Sarees,Summer,Ethnic
53009,Women,Kurta Sets,Summer,Ethnic
53010,Women,Rucksacks,Summer,Casual
53011,Women,Kurta Sets,Summer,Ethnic
53013,Women,Kurta Sets,Summer,Casual
53014,Women,Sarees,Summer,Casual
53015,Women,Sarees,Summer,Ethnic
53016,Women,Kurta Sets,Summer,Ethnic
53017,Women,Sarees,Summer,Ethnic
53019,Women,Sarees,Summer,Casual
53020,Women,Sarees,Summer,Ethnic
53021,Women,Sarees,Summer,Casual
53023,Women,Sarees,Summer,Casual
53024,Women,Kurta Sets,Summer,Ethnic
53025,Women,Sarees,Summer,Ethnic
